"filename", "language", "C++", "Dart", "Markdown", "YAML", "Swift", "JSON", "Properties", "Groovy", "XML", "HTML", "comment", "blank", "total"
"d:\Flutter\practice\client project\ecommerce_user\lib\src\core\features\display_products\data\models\add_to_cart_model.dart", "Dart", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 44
"d:\Flutter\practice\client project\ecommerce_user\lib\src\core\features\display_products\data\models\product_model.dart", "Dart", 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 84
"d:\Flutter\practice\client project\ecommerce_user\lib\src\core\features\display_products\presentation\bloc\add_to_car_bloc\add_to_cart_bloc.dart", "Dart", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 30
"d:\Flutter\practice\client project\ecommerce_user\lib\src\core\features\display_products\presentation\bloc\add_to_car_bloc\add_to_cart_event.dart", "Dart", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"d:\Flutter\practice\client project\ecommerce_user\lib\src\core\features\display_products\presentation\bloc\add_to_car_bloc\add_to_cart_state.dart", "Dart", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 31
"d:\Flutter\practice\client project\ecommerce_user\lib\src\core\features\display_products\presentation\bloc\display_product_bloc\display_products_bloc.dart", "Dart", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 34
"d:\Flutter\practice\client project\ecommerce_user\lib\src\core\features\display_products\presentation\bloc\display_product_bloc\display_products_event.dart", "Dart", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 18
"d:\Flutter\practice\client project\ecommerce_user\lib\src\core\features\display_products\presentation\bloc\display_product_bloc\display_products_state.dart", "Dart", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 42
"d:\Flutter\practice\client project\ecommerce_user\lib\src\core\features\display_products\presentation\pages\home_page.dart", "Dart", 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 92
"d:\Flutter\practice\client project\ecommerce_user\lib\src\core\features\display_products\presentation\pages\home_page_screen.dart", "Dart", 0, 175, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11, 190
